poem_line,renaissance_mythology_folklore
Let the bird of loudest lay,renaissance_mythology_folklore
On the sole Arabian tree,renaissance_mythology_folklore
"Herald sad and trumpet be,",renaissance_mythology_folklore
To whose sound chaste wings obey.,renaissance_mythology_folklore
"But thou shrieking harbinger,",renaissance_mythology_folklore
"Foul precurrer of the fiend,",renaissance_mythology_folklore
"Augur of the fever's end,",renaissance_mythology_folklore
To this troop come thou not near.,renaissance_mythology_folklore
From this session interdict,renaissance_mythology_folklore
"Every fowl of tyrant wing,",renaissance_mythology_folklore
"Save the eagle, feather'd king;",renaissance_mythology_folklore
Keep the obsequy so strict.,renaissance_mythology_folklore
"Let the priest in surplice white,",renaissance_mythology_folklore
"That defunctive music can,",renaissance_mythology_folklore
"Be the death-divining swan,",renaissance_mythology_folklore
Lest the requiem lack his right.,renaissance_mythology_folklore
"And thou treble-dated crow,",renaissance_mythology_folklore
That thy sable gender mak'st,renaissance_mythology_folklore
"With the breath thou giv'st and tak'st,",renaissance_mythology_folklore
'Mongst our mourners shalt thou go.,renaissance_mythology_folklore
Here the anthem doth commence:,renaissance_mythology_folklore
Love and constancy is dead;,renaissance_mythology_folklore
Phoenix and the Turtle fled,renaissance_mythology_folklore
In a mutual flame from hence.,renaissance_mythology_folklore
"So they lov'd, as love in twain",renaissance_mythology_folklore
Had the essence but in one;,renaissance_mythology_folklore
"Two distincts, division none:",renaissance_mythology_folklore
Number there in love was slain.,renaissance_mythology_folklore
"Hearts remote, yet not asunder;",renaissance_mythology_folklore
Distance and no space was seen,renaissance_mythology_folklore
'Twixt this Turtle and his queen:,renaissance_mythology_folklore
But in them it were a wonder.,renaissance_mythology_folklore
So between them love did shine,renaissance_mythology_folklore
That the Turtle saw his right,renaissance_mythology_folklore
Flaming in the Phoenix' sight:,renaissance_mythology_folklore
Either was the other's mine.,renaissance_mythology_folklore
Property was thus appalled,renaissance_mythology_folklore
That the self was not the same;,renaissance_mythology_folklore
Single nature's double name,renaissance_mythology_folklore
Neither two nor one was called.,renaissance_mythology_folklore
"Reason, in itself confounded,",renaissance_mythology_folklore
"Saw division grow together,",renaissance_mythology_folklore
"To themselves yet either neither,",renaissance_mythology_folklore
Simple were so well compounded;,renaissance_mythology_folklore
"That it cried, ""How true a twain",renaissance_mythology_folklore
Seemeth this concordant one!,renaissance_mythology_folklore
"Love has reason, reason none,",renaissance_mythology_folklore
"If what parts can so remain.""",renaissance_mythology_folklore
Whereupon it made this threne,renaissance_mythology_folklore
"To the Phoenix and the Dove,",renaissance_mythology_folklore
"Co-supremes and stars of love,",renaissance_mythology_folklore
As chorus to their tragic scene:,renaissance_mythology_folklore
"Beauty, truth, and rarity,",renaissance_mythology_folklore
"Grace in all simplicity,",renaissance_mythology_folklore
"Here enclos'd, in cinders lie.",renaissance_mythology_folklore
"Death is now the Phoenix' nest,",renaissance_mythology_folklore
And the Turtle's loyal breast,renaissance_mythology_folklore
"To eternity doth rest,",renaissance_mythology_folklore
Leaving no posterity:,renaissance_mythology_folklore
"'Twas not their infirmity,",renaissance_mythology_folklore
It was married chastity.,renaissance_mythology_folklore
Truth may seem but cannot be;,renaissance_mythology_folklore
Beauty brag but 'tis not she;,renaissance_mythology_folklore
Truth and beauty buried be.,renaissance_mythology_folklore
To this urn let those repair,renaissance_mythology_folklore
That are either true or fair;,renaissance_mythology_folklore
For these dead birds sigh a prayer.,renaissance_mythology_folklore
"Sir Charles into my chamber coming in,",renaissance_mythology_folklore
When I was writing of my Fairy Queen;,renaissance_mythology_folklore
I praysaid hewhen Queen Mab you do see,renaissance_mythology_folklore
Present my service to her Majesty:,renaissance_mythology_folklore
And tell her I have heard Fame's loud report,renaissance_mythology_folklore
